0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
1381.2,-63.6,-106.4,230.9,-317.45,628.8,342,-1112,-1012,-1241,-1501,-1075,2338,832,840,849,1058,2176,1499.531393,576.5039462,496.8444425,545.5822578,662.6550007,920.3577022,2471.684211,1198.526316,-277.0526316,203.3684211,-367.7368421,-1269.473684,1602,-12,-932,-346,-868,-2549,3286,2408,400,669,339,255,2511.084438,1369.957049,488.0931749,332.540144,501.8757972,1471.278248,3333.368421,1391.157895,-234.9473684,-453.7368421,382.1052632,-320.1052632,1762,180,-656,-2128,-2572,-2593,4370,2916,272,727,2259,1180,3406.838541,1506.95678,361.666319,832.4602409,1256.78106,1054.677002,1030.545455,71.45454545,-96.72727273,-79.90909091,229,691.6818182,542,-764,-432,-735,-182,-315,2126,788,192,466,1286,2334,1085.247018,368.8320633,180.34714,349.5897596,427.1636901,1033.910604,0
2176.4,162.4,-240.6,330.15,-723.5,462.95,650,-936,-1420,-675,-2177,-383,4322,1420,552,1084,9,1250,2381.888494,523.4485648,521.9248988,485.2350461,890.3389804,611.758163,4928.736842,1095.157895,-914.7368421,-62.26315789,-270.3684211,-1005.736842,3950,236,-1832,-846,-1181,-2403,5778,1748,-184,2343,993,1009,4951.744297,1183.003848,989.4436502,735.5646238,594.0569262,1311.889016,4244.947368,531.1578947,-660.2105263,-222.8947368,418.0526316,98.89473684,2710,-588,-1696,-1462,-1365,-1264,5202,1124,-52,1174,1655,1980,4319.148527,664.4126809,765.7477941,666.427751,880.1314196,1046.620552,2228.2,-64.6,-253,-152.9,213.8,510,1698,-708,-832,-970,-363,-410,2974,716,204,487,784,1568,2252.665443,302.8464958,339.2191032,377.2949774,358.9261763,758.9117867,0
596.8235294,244.2352941,-24.70588235,116.1764706,-210.2941176,-342.5294118,-418,-556,-1124,-1210,-1386,-1246,1522,936,544,885,1793,628,813.3441497,467.1495541,410.576639,589.7715909,708.0905974,719.7272768,1369,41.5,249.75,-62.75,-218.25,-1077.375,790,-1208,-516,-1765,-1290,-2897,1890,1176,716,902,721,556,1401.653309,574.0574884,374.7305699,648.8902064,585.3308893,1384.380367,960.25,-597,-41.5,-61.25,217.4375,711.625,2,-2752,-608,-837,-2037,-1338,2010,276,1112,807,1422,2137,1081.89371,898.2627678,490.2142389,517.4521717,889.0781391,1215.201732,295.5555556,-398.8888889,31.11111111,447.2777778,-143.3333333,781,-414,-1372,-576,-162,-471,-331,926,304,676,916,556,1588,460.0816353,632.2256981,380.4652123,520.7270025,279.6001113,958.4191846,0
496.6153846,-145.0769231,-44.30769231,102.6923077,-111,441.8076923,-230,-772,-984,-1915,-948,-894,1202,800,620,1121,1531,1853,652.1984125,399.1830118,391.9481912,627.2136184,537.9660413,708.6965554,2634.64,1692.8,-250.24,18.28,-606.24,-696.8,874,352,-1164,-1360,-1326,-2721,4174,2752,1020,1091,223,250,2770.083407,1800.834651,529.3231905,523.8813224,749.8656946,1045.527427,2757.84,1521.28,-339.2,-115.4,507.8,-52.12,1070,488,-984,-975,-93,-1619,4362,2316,328,783,1715,1442,2896.205324,1585.289576,459.2459907,483.9881404,648.1111324,667.6479611,640.962963,374.0740741,-44,-167.0740741,85.18518519,626.3333333,158,-208,-708,-1039,-485,-561,1166,1372,336,510,788,2227,701.0167219,567.8836605,231.0414425,489.9976946,312.0385779,902.0386171,0
496.6153846,-145.0769231,-44.30769231,102.6923077,-111,441.8076923,-230,-772,-984,-1915,-948,-894,1202,800,620,1121,1531,1853,652.1984125,399.1830118,391.9481912,627.2136184,537.9660413,708.6965554,2634.64,1692.8,-250.24,18.28,-606.24,-696.8,874,352,-1164,-1360,-1326,-2721,4174,2752,1020,1091,223,250,2770.083407,1800.834651,529.3231905,523.8813224,749.8656946,1045.527427,2757.84,1521.28,-339.2,-115.4,507.8,-52.12,1070,488,-984,-975,-93,-1619,4362,2316,328,783,1715,1442,2896.205324,1585.289576,459.2459907,483.9881404,648.1111324,667.6479611,640.962963,374.0740741,-44,-167.0740741,85.18518519,626.3333333,158,-208,-708,-1039,-485,-561,1166,1372,336,510,788,2227,701.0167219,567.8836605,231.0414425,489.9976946,312.0385779,902.0386171,0
1035.44,493.12,-123.2,352.16,-282.32,514.84,-22,-520,-824,-601,-762,-1074,2090,1636,544,1251,517,1585,1203.191556,806.2880875,381.9679568,547.4115088,444.7852516,750.3288612,2605.5,953.5,-73.33333333,-299.2083333,-225.5833333,-573.5416667,1578,-188,-584,-1371,-1641,-2746,4574,1988,852,436,1525,495,2719.244258,1093.085236,355.4396339,581.4349706,751.285343,942.6262736,3636.333333,520.8333333,-474.8333333,-114.1666667,181.7916667,-306.125,2418,-768,-1024,-1226,-892,-1998,4526,1036,164,914,1555,989,3672.378339,682.7390912,553.8272896,544.1631955,761.179485,941.3352883,1249.84,-46.24,-142.4,-98,272.44,740.2,-70,-1004,-612,-1181,-381,-489,2246,1392,208,449,1729,2650,1351.985385,431.0381886,259.8953636,473.459861,642.1084332,1119.71859,0
1447.92,384.96,-119.52,210.4,-172.4,386.64,614,-212,-828,-113,-1242,-399,2726,956,460,885,757,1010,1508.98159,506.761956,311.0086816,309.5360399,402.1532046,518.9229615,3592.666667,926.6666667,-429.1666667,-326,-496.875,-992.4583333,2418,-156,-1124,-1383,-2746,-2056,4634,1688,100,323,298,1399,3633.860757,1017.801552,528.1849424,566.2535504,797.4522713,1257.196932,3995,957.1666667,-630.1666667,-52.45833333,518,112.2916667,2046,-284,-1280,-1207,-1452,-1642,5498,2644,160,934,1753,2210,4100.850643,1117.639477,740.8972038,656.1825521,1009.35074,1124.423575,1912.153846,865.6923077,-174.7692308,9.307692308,158.8846154,360.6153846,1406,12,-672,-577,-545,-486,2522,1780,332,645,918,1234,1933.024812,953.6911288,300.274746,311.5861407,351.4666523,569.9973009,0
2126.266667,481.3333333,-229.3333333,180.2,-191.2333333,455.8333333,958,-288,-812,-828,-750,-2049,2834,1460,184,938,1070,1112,2184.92575,648.7534714,332.2408765,464.6580822,473.1003065,730.7594908,3780.896552,802.7586207,-503.4482759,-170.0689655,-515.6896552,-543.1034483,1914,248,-1144,-834,-1104,-1244,5442,1232,404,694,10,437,3901.901163,842.369728,641.6100438,413.895539,581.3249729,699.9723147,3953.172414,364.9655172,-471.5862069,-316.137931,349.4827586,162.6206897,2038,-612,-1116,-1338,-887,-2222,5538,1124,364,355,1504,1625,4108.990932,552.28878,595.4137362,494.4920766,679.4120937,934.2839412,1720.133333,-571.4666667,-173.3333333,9.733333333,246.0333333,566.1333333,898,-1660,-576,-759,-301,-328,2990,316,156,1169,1011,1444,1798.641784,724.3277343,263.3669177,428.1006891,445.7534072,765.6495717,0
1716.72,207.04,-152.8,-196.36,-19.08,443.8,998,-1784,-668,-1396,-784,-1004,2422,864,608,469,1947,1111,1776.709813,607.749422,353.0901301,495.1051202,605.3637915,637.8166194,1831.166667,-499.1666667,-70,256.75,-144.2916667,-1045,734,-1368,-676,-767,-1197,-2338,3334,148,508,1330,1034,441,1973.899018,640.0057291,333.8882048,531.5042333,619.210889,1211.556368,3320.833333,-562.8333333,-298.5,-218.4583333,260.4583333,-390.4166667,2114,-1320,-1172,-2053,-1550,-1842,4790,320,224,1218,1568,1239,3368.930196,740.5002813,462.8527484,911.0455303,776.1453096,885.4797193,1526.444444,-1069.481481,-203.4074074,49.07407407,78.55555556,967.7037037,822,-2288,-892,-598,-622,-125,2558,-256,312,691,990,1966,1600.019398,1191.52986,347.1919098,327.6762743,385.2448476,1115.660907,0
1165.764706,-1.411764706,-57.17647059,167.4705882,-266,102.1764706,78,-472,-920,-1041,-1807,-1218,2102,844,792,1355,881,1477,1273.97636,335.3326706,489.6317944,601.0996296,728.6742999,629.0190776,3270.75,275.5,-310.75,-382.875,-570.6875,-1314.75,2358,-1104,-1292,-1515,-2536,-2830,3974,952,772,781,228,545,3313.344836,639.1384826,567.0705423,836.2628923,958.8603587,1579.410847,3838.5,-1554.5,-713.75,-82.875,774,394.25,2214,-2484,-1656,-2173,-359,-2825,5966,-260,-224,1414,2286,1649,4034.117004,1666.201668,782.5158145,787.293465,1030.759611,1388.930209,2051.684211,-1193.263158,-262.5263158,282.4736842,8.578947368,607.4736842,1518,-2132,-716,-520,-516,-429,3254,-428,176,853,496,1993,2101.326047,1266.583635,372.7869435,457.7267054,276.1367891,1000.934143,0
